trip count,tripduration,start date,start time,stop date,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1,226,1/1/20,12:04:50 AM,1/1/20,12:08:37 AM,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,29444,Subscriber,1984,Female
1,377,1/1/20,12:16:02 AM,1/1/20,12:22:19 AM,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,26305,Subscriber,1989,Female
1,288,1/1/20,12:17:34 AM,1/1/20,12:22:22 AM,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,29268,Customer,1989,Male
1,435,1/1/20,12:32:06 AM,1/1/20,12:39:21 AM,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,29278,Customer,1969,Unknown
1,231,1/1/20,12:46:20 AM,1/1/20,12:50:11 AM,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29276,Subscriber,1983,Female
1,437,1/1/20,12:47:21 AM,1/1/20,12:54:39 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,26261,Subscriber,1990,Male
1,438,1/1/20,12:59:20 AM,1/1/20,1:06:38 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,29120,Customer,1969,Unknown
1,403,1/1/20,12:59:32 AM,1/1/20,1:06:15 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26182,Customer,1969,Unknown
1,395,1/1/20,12:59:34 AM,1/1/20,1:06:10 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,29601,Customer,1969,Unknown
1,423,1/1/20,12:59:39 AM,1/1/20,1:06:43 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26268,Customer,1969,Unknown
1,1227,1/1/20,1:07:08 AM,1/1/20,1:27:35 AM,3186,Grove St PATH,40.71958612,-74.04311746,3280,Astor Place,40.7192822,-74.07126188,29467,Subscriber,1976,Male
1,360,1/1/20,1:09:21 AM,1/1/20,1:15:21 AM,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,29290,Subscriber,1984,Male
1,478,1/1/20,1:12:29 AM,1/1/20,1:20:28 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,26155,Subscriber,1963,Male
1,446,1/1/20,1:13:10 AM,1/1/20,1:20:36 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,29673,Subscriber,1964,Female
1,583,1/1/20,1:15:53 AM,1/1/20,1:25:37 AM,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,26250,Customer,1990,Female
1,343,1/1/20,1:26:49 AM,1/1/20,1:32:32 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,26283,Subscriber,1980,Male
1,198,1/1/20,1:27:30 AM,1/1/20,1:30:48 AM,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,29456,Subscriber,1960,Male
1,324,1/1/20,1:28:30 AM,1/1/20,1:33:54 AM,3639,Harborside,40.7192517,-74.034234,3272,Jersey & 3rd,40.72333159,-74.04595256,26219,Customer,1992,Male
1,406,1/1/20,1:28:41 AM,1/1/20,1:35:27 AM,3639,Harborside,40.7192517,-74.034234,3272,Jersey & 3rd,40.72333159,-74.04595256,26301,Subscriber,1993,Female
1,310,1/1/20,1:33:00 AM,1/1/20,1:38:11 AM,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,29629,Subscriber,1977,Male
1,694,1/1/20,1:33:33 AM,1/1/20,1:45:07 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,26161,Subscriber,1988,Female
1,654,1/1/20,1:34:13 AM,1/1/20,1:45:08 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,29673,Customer,1969,Unknown
1,170,1/1/20,1:34:18 AM,1/1/20,1:37:08 AM,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,29654,Subscriber,1994,Female
1,216,1/1/20,1:58:42 AM,1/1/20,2:02:19 AM,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,29677,Subscriber,1958,Male
1,256,1/1/20,2:02:33 AM,1/1/20,2:06:50 AM,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,26215,Subscriber,1987,Male
1,225,1/1/20,2:03:20 AM,1/1/20,2:07:06 AM,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29284,Customer,1969,Unknown
1,400,1/1/20,2:18:43 AM,1/1/20,2:25:23 AM,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29206,Subscriber,1988,Female
1,137,1/1/20,2:20:21 AM,1/1/20,2:22:39 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,26270,Subscriber,1975,Male
1,659,1/1/20,2:43:43 AM,1/1/20,2:54:42 AM,3195,Sip Ave,40.7308971,-74.06391263,3191,Union St,40.7182113,-74.0836394,29451,Subscriber,1977,Male
1,284,1/1/20,2:44:31 AM,1/1/20,2:49:16 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3270,Jersey & 6th St,40.72528911,-74.04557168,29228,Customer,1993,Female
1,132,1/1/20,2:56:26 AM,1/1/20,2:58:39 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29126,Subscriber,1988,Female
1,117,1/1/20,2:56:38 AM,1/1/20,2:58:36 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29205,Subscriber,1987,Male
1,1040,1/1/20,2:58:53 AM,1/1/20,3:16:13 AM,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,29240,Subscriber,1994,Female
1,759,1/1/20,3:00:38 AM,1/1/20,3:13:17 AM,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,26238,Customer,1985,Male
